Electric usage,2025-12-30,08:15,08:29,0.54,$0.10
Electric usage,2025-12-30,08:30,08:44,0.44,$0.08
Electric usage,2025-12-30,08:45,08:59,0.57,$0.10
Electric usage,2025-12-30,09:00,09:14,0.41,$0.07
Electric usage,2025-12-30,09:15,09:29,0.50,$0.09
Electric usage,2025-12-30,09:30,09:44,0.58,$0.10
Electric usage,2025-12-30,09:45,09:59,0.68,$0.12
Electric usage,2025-12-30,10:00,10:14,0.65,$0.12
Electric usage,2025-12-30,10:15,10:29,0.73,$0.13
Electric usage,2025-12-30,10:30,10:44,0.73,$0.13
Electric usage,2025-12-30,10:45,10:59,0.69,$0.12
Electric usage,2025-12-30,11:00,11:14,0.51,$0.09
Electric usage,2025-12-30,11:15,11:29,0.38,$0.07
Electric usage,2025-12-30,11:30,11:44,0.40,$0.07
Electric usage,2025-12-30,11:45,11:59,0.11,$0.02
Electric usage,2025-12-30,12:00,12:14,-0.33,-$0.06
Electric usage,2025-12-30,12:15,12:29,12.87,$2.29,* This data was estimated
Electric usage,2025-12-30,12:30,12:44,12.65,$2.25,* This data was estimated
Electric usage,2025-12-30,12:45,12:59,13.69,$2.44,* This data was estimated
Electric usage,2025-12-30,13:00,13:14,18.56,$3.30,* This data was estimated
Electric usage,2025-12-30,13:15,13:29,23.60,$4.20,* This data was estimated
Electric usage,2025-12-30,13:30,13:44,30.78,$5.48,* This data was estimated
Electric usage,2025-12-30,13:45,13:59,44.33,$7.89,* This data was estimated
Electric usage,2025-12-30,14:00,14:14,53.33,$9.49,* This data was estimated
Electric usage,2025-12-30,14:15,14:29,32.71,$5.82,* This data was estimated
Electric usage,2025-12-30,14:30,14:44,39.97,$7.11,* This data was estimated
Electric usage,2025-12-30,14:45,14:59,34.75,$6.18,* This data was estimated
Electric usage,2025-12-30,15:00,15:14,39.20,$6.98,* This data was estimated
Electric usage,2025-12-30,15:15,15:29,41.04,$7.30,* This data was estimated
Electric usage,2025-12-30,15:30,15:44,35.91,$6.39,* This data was estimated
Electric usage,2025-12-30,15:45,15:59,49.07,$8.73,* This data was estimated
Electric usage,2025-12-30,16:00,16:14,39.97,$7.11,* This data was estimated
Electric usage,2025-12-30,16:15,16:29,43.36,$7.72,* This data was estimated
Electric usage,2025-12-30,16:30,16:44,49.36,$8.78,* This data was estimated
Electric usage,2025-12-30,16:45,16:59,41.91,$7.46,* This data was estimated
Electric usage,2025-12-30,17:00,17:14,42.49,$7.56,* This data was estimated
Electric usage,2025-12-30,17:15,17:29,45.49,$8.09,* This data was estimated
Electric usage,2025-12-30,17:30,17:44,39.00,$6.94,* This data was estimated
Electric usage,2025-12-30,17:45,17:59,50.23,$8.94,* This data was estimated
Electric usage,2025-12-30,18:00,18:14,0.62,$0.11
Electric usage,2025-12-30,18:15,18:29,0.75,$0.13
Electric usage,2025-12-30,18:30,18:44,0.65,$0.12
Electric usage,2025-12-30,18:45,18:59,0.78,$0.14
Electric usage,2025-12-30,19:00,19:14,0.74,$0.13
Electric usage,2025-12-30,19:15,19:29,0.90,$0.16
Electric usage,2025-12-30,19:30,19:44,0.64,$0.11
Electric usage,2025-12-30,19:45,19:59,0.62,$0.11
Electric usage,2025-12-30,20:00,20:14,0.73,$0.13
Electric usage,2025-12-30,20:15,20:29,0.75,$0.13
Electric usage,2025-12-30,20:30,20:44,0.78,$0.14
Electric usage,2025-12-30,20:45,20:59,0.75,$0.13
Electric usage,2025-12-30,21:00,21:14,0.65,$0.12
Electric usage,2025-12-30,21:15,21:29,0.72,$0.13
Electric usage,2025-12-30,21:30,21:44,0.69,$0.12
Electric usage,2025-12-30,21:45,21:59,0.78,$0.14
Electric usage,2025-12-30,22:00,22:14,0.64,$0.11
Electric usage,2025-12-30,22:15,22:29,0.74,$0.13
Electric usage,2025-12-30,22:30,22:44,0.72,$0.13
Electric usage,2025-12-30,22:45,22:59,0.82,$0.15
Electric usage,2025-12-30,23:00,23:14,0.64,$0.11
Electric usage,2025-12-30,23:15,23:29,0.60,$0.11
Electric usage,2025-12-30,23:30,23:44,0.62,$0.11
Electric usage,2025-12-30,23:45,23:59,0.84,$0.15
